EventDateId,PlayerName,Position,Team,Opp,Minutes,FGM,FGA,FG2M,FG2A,FG3M,FG3A,FTM,FTA,Points,Rebounds,Assists,Steals,Blocks,Usage,Turnovers,Doubles,FantasyPointsDraftKings,FantasyPointsFanDuel
20200811,Gary Trent,SG,POR,DAL,34.60,0,11.70,0,6.60,1.80,5.10,1.90,2.60,13.80,4.30,1.70,0.80,0.20,15.59,1.10,1,24.08,23.41
20200811,George Hill,PG,MIL,WAS,22.50,0,6.50,0,3.70,1.20,2.80,1.40,1.70,9.60,3.00,3.30,0.90,0.10,16.43,1.10,0,20.35,20.05
20200811,Giannis Antetokounmpo,PF,MIL,WAS,26.00,0,16.50,0,12.80,1.10,3.70,5.50,8.30,26.90,11.50,5.60,0.80,0.90,39.95,3.30,2,53.48,50.90
20200811,Glenn Robinson,SF,PHI,PHX,25.70,0,7.20,0,4.50,1.00,2.70,1.10,1.50,10.30,3.80,1.30,0.70,0.30,17.25,0.80,1,19.10,19.01
20200811,Gordon Hayward,SF,BOS,MEM,32.50,0,12.80,0,8.60,1.50,4.20,2.60,3.00,16.20,6.30,4.10,0.70,0.40,20.23,1.90,1,32.23,31.31
20200811,Gorgui Dieng,C,MEM,BOS,13.00,0,4.30,0,3.00,0.50,1.30,0.90,1.10,5.60,3.70,0.90,0.60,0.70,17.81,0.70,0,14.08,14.59
20200811,Grant Williams,PF,BOS,MEM,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Grayson Allen,SG,MEM,BOS,28.50,0,10.20,0,4.50,2.10,5.70,2.20,2.80,13.10,2.70,2.10,0.40,0.20,19.16,1.50,1,21.13,19.79
20200811,Harrison Barnes,PF,SAC,NOP,31.70,0,10.30,0,6.60,1.40,3.70,2.70,3.30,15.10,4.70,2.50,0.60,0.10,18.11,1.10,1,26.28,25.49
20200811,Harry Giles,PF,SAC,NOP,17.30,0,6.40,0,5.90,0.20,0.50,0.90,1.40,8.80,4.90,1.60,0.60,0.40,20.96,1.10,0,18.88,18.98
20200811,Hassan Whiteside,C,POR,DAL,15.70,0,5.60,0,5.50,0.00,0.10,1.20,1.90,7.80,6.60,0.50,0.20,1.20,17.83,0.80,0,19.20,19.87
20200811,Ian Mahinmi,C,WAS,MIL,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Isaac Bonga,SF,WAS,MIL,27.30,0,5.50,0,3.60,0.70,1.90,1.60,1.90,8.00,4.40,1.70,1.00,0.50,14.09,1.40,0,18.70,18.93
20200811,Ish Smith,PG,WAS,MIL,27.80,0,10.60,0,8.00,0.90,2.60,0.90,1.30,13.00,3.40,4.80,0.90,0.50,22.31,1.30,1,27.05,27.18
20200811,Ja Morant,PG,MEM,BOS,37.10,0,16.90,0,13.50,1.20,3.40,4.20,5.40,21.50,4.50,9.40,1.00,0.40,26.83,4.30,1,42.48,40.90
20200811,Jabari Parker,PF,SAC,NOP,15.20,0,7.00,0,5.10,0.60,1.90,1.10,1.50,9.80,3.70,1.40,0.80,0.20,25.75,1.10,0,18.28,18.24
20200811,Jahlil Okafor,C,NOP,SAC,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Jakob Poeltl,C,SAS,HOU,25.20,0,5.80,0,5.70,0.00,0.10,1.00,1.60,9.30,7.90,1.80,0.60,1.30,13.71,1.10,0,25.13,26.08
20200811,Jalen Lecque,PG,PHX,PHI,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,James Ennis,SF,ORL,BKN,27.70,0,7.60,0,4.00,1.20,3.60,1.60,2.00,12.80,5.20,1.50,0.80,0.50,17.36,0.90,1,24.30,24.29
20200811,Javonte Green,SF,BOS,MEM,7.50,0,2.00,0,1.60,0.10,0.40,0.40,0.70,2.50,1.70,0.40,0.40,0.10,14.82,0.40,0,6.08,6.24
20200811,Jaxson Hayes,C,NOP,SAC,20.50,0,5.00,0,4.90,0.00,0.10,2.20,3.30,10.00,5.50,1.00,0.50,1.10,17.70,1.10,1,21.03,21.80
20200811,Jaylen Adams,PG,POR,DAL,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Jaylen Brown,SF,BOS,MEM,31.90,0,14.50,0,9.10,2.00,5.40,2.70,3.90,18.00,6.00,1.80,1.00,0.30,23.56,2.10,1,30.75,29.70
20200811,Jaylen Hoard,SF,POR,DAL,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Jayson Tatum,PF,BOS,MEM,32.30,0,17.10,0,10.80,2.50,6.30,3.50,4.30,21.90,6.70,3.00,1.30,0.80,26.93,2.20,1,39.13,38.54
20200811,Jeff Green,PF,HOU,SAS,31.70,0,11.20,0,5.70,1.90,5.50,2.70,3.10,16.00,5.20,1.80,0.80,0.60,20.31,1.20,1,28.35,27.94
