"Player, POS",Team/Opp,▴,Proj / $1K,,Proj / $1K,,Proj / $1,Min/Game,DvP Rank,O/U,Spread,Line,Rating
"Danuel House, PF",HOU @ SA,"$4,200",4.9,"$4,500",4.6,$14,1.5,30.36,21,,2,-131,Upgrade
"Tyler Johnson, SG",BKN @ ORL,"$4,200",2.5,"$5,100",2.1,$10,1.1,17.92,22,,-6,206,Upgrade
"Garrett Temple, SG",BKN @ ORL,"$4,200",6.5,"$5,000",5.5,$15,1.8,27.75,22,,-6,206,Upgrade
"Jabari Parker, PF",SAC v. NO,"$4,100",2.4,"$3,100",3.2,$10,1,24.27,23,,1,-105,Upgrade
"Lonnie Walker IV, SG",SA v. HOU,"$4,100",4,"$4,300",3.8,$10,1.6,15.67,27,,2,110,Upgrade
"Ben McLemore, SG",HOU @ SA,"$4,100",3.8,"$4,700",3.5,$11,1.4,22.84,9,,2,-131,Upgrade
"D.J. Augustin, PG",ORL v. BKN,"$4,100",4.7,"$4,500",4.5,$11,1.8,25.03,20,,-6,-249,Upgrade
"Pat Connaughton, SG",MIL @ WAS,"$4,000",2.9,"$3,400",3.4,$10,1.2,18.51,23,229.5,8,-359,Upgrade
"Kent Bazemore, SG",SAC v. NO,"$4,000",4.5,"$3,800",4.7,$11,1.6,24.82,18,,1,-105,Upgrade
"Josh Hart, SG",NO @ SAC,"$4,000",5.3,"$4,100",5.3,$17,1.3,26.82,25,,1,-115,Upgrade
"Jeff Green, SF",HOU @ SA,"$4,000",3.3,"$4,100",3.2,$12,1.1,19.41,26,,2,-131,Upgrade
"James Ennis, SF",ORL v. BKN,"$4,000",2.7,"$4,300",2.5,$10,1.1,18.09,17,,-6,-249,Upgrade
"Isaac Bonga, PG",WAS v. MIL,"$3,900",3.5,"$3,700",3.6,$10,1.3,18.59,11,229.5,8,283,Upgrade
"George Hill, PG",MIL @ WAS,"$3,900",3.8,"$3,900",3.9,$10,1.5,21.53,26,229.5,8,-359,Upgrade
"Alex Len, C",SAC v. NO,"$3,900",2.5,"$3,500",2.8,$10,1,17.81,19,,1,-105,Upgrade
"Grayson Allen, SG",MEM v. BOS,"$3,900",3.6,"$4,300",3.4,$10,1.4,18.41,11,225,4,139,Upgrade
"Jevon Carter, PG",PHO @ PHI,"$3,900",2.5,"$3,200",3.1,$11,0.9,16.07,3,,8,-335,Upgrade
"Dario Saric, PF",PHO @ PHI,"$3,900",5.5,"$4,500",5,$18,1.2,24.72,3,,8,-335,Upgrade
"Keldon Johnson, PG",SA v. HOU,"$3,900",1.2,"$3,900",1.2,$11,0.4,16.32,16,,2,110,Upgrade
"Jeremiah Martin, PG",BKN @ ORL,"$3,900",0.6,"$3,400",0.7,$10,0.2,8.97,5,,-6,206,Upgrade
"Marvin Williams, PF",MIL @ WAS,"$3,800",2.5,"$3,300",2.9,$10,1,19.63,16,229.5,8,-359,Upgrade
"Robert Williams, PF",BOS @ MEM,"$3,800",1.5,"$3,300",1.6,$10,0.6,13.62,26,225,4,-168,Upgrade
"Seth Curry, SG",DAL v. POR,"$3,800",7.1,"$4,200",6.8,$10,2.7,24.69,28,,2,112,Upgrade
"Mario Hezonja, SG",POR @ DAL,"$3,800",1.8,"$3,400",2,$10,0.7,16.43,10,,2,-136,Upgrade
"P.J. Tucker, SF",HOU @ SA,"$3,800",5.5,"$4,100",5.1,$11,1.9,34.54,26,,2,-131,Upgrade
"Eric Gordon, SG",HOU @ SA,"$3,800",0,"$3,900",0,$11,0,28.6,9,,2,-131,Upgrade
"Gary Clark, PF",ORL v. BKN,"$3,800",1.3,"$3,400",1.4,$10,0.5,12.85,6,,-6,-249,Upgrade
"Rodions Kurucs, PF",BKN @ ORL,"$3,800",2.6,"$4,100",2.5,$10,1,14.13,19,,-6,206,Upgrade
"Garrison Mathews, PG",WAS v. MIL,"$3,700",0,"$3,000",0,$10,0,12.63,11,229.5,8,283,Upgrade
"Thanasis Antetokounmpo, SF",MIL @ WAS,"$3,700",0,"$3,000",0,$10,0,5.16,25,229.5,8,-359,Upgrade
"Nicolo Melli, PF",NO @ SAC,"$3,700",2,"$3,900",1.9,$10,0.7,17.1,1,,1,-115,Upgrade
"Brad Wanamaker, PG",BOS @ MEM,"$3,700",3.2,"$3,600",3.3,$10,1.2,19.32,23,225,4,-168,Upgrade
"Enes Kanter, C",BOS @ MEM,"$3,700",3.8,"$3,200",4.4,$10,1.4,16.96,12,225,4,-168,Upgrade
"Matisse Thybulle, PG",PHI v. PHO,"$3,700",3.2,"$3,200",3.6,$10,1.2,19.53,24,,8,270,Upgrade
"Mike Scott, PF",PHI v. PHO,"$3,700",2.3,"$3,600",2.5,$10,0.9,17.58,10,,8,270,Upgrade
"Cameron Payne, PG",PHO @ PHI,"$3,700",3.3,"$4,000",3.1,$10,1.2,22.42,3,,8,-335,Upgrade
"Aron Baynes, C",PHO @ PHI,"$3,700",0,"$4,600",0,$12,0,22.25,3,,8,-335,Upgrade
"Michael Carter-Williams, PG",ORL v. BKN,"$3,700",3.8,"$4,100",3.3,$11,1.3,18.51,20,,-6,-249,Upgrade
"Chris Chiozza, PG",BKN @ ORL,"$3,700",2.2,"$4,400",1.9,$10,0.8,14.06,5,,-6,206,Upgrade
"Ian Mahinmi, C",WAS v. MIL,"$3,600",4.7,"$3,000",5.4,$10,1.7,21.26,8,229.5,8,283,Upgrade
"Daquan Jeffries, PG",SAC v. NO,"$3,600",0,"$3,100",0,$10,0,9.23,27,,1,-105,Upgrade
"Harry Giles, PF",SAC v. NO,"$3,600",1.5,"$3,200",1.6,$10,0.5,14.51,23,,1,-105,Upgrade
"Cory Joseph, PG",SAC v. NO,"$3,600",4.1,"$3,700",4,$10,1.5,24.32,27,,1,-105,Upgrade
"Javonte Green, PF",BOS @ MEM,"$3,600",0.7,"$3,000",0.8,$10,0.2,9.37,26,225,4,-168,Upgrade
"Courtney Lee, SG",DAL v. POR,"$3,600",0,"$3,000",0,$10,0,14.39,28,,2,112,Upgrade
"Elie Okobo, PG",PHO @ PHI,"$3,600",0,"$3,000",0,$10,0,13.09,3,,8,-335,Upgrade
"Patty Mills, PG",SA v. HOU,"$3,600",5.7,"$3,300",6.5,$10,2,22.5,16,,2,110,Upgrade
"Timothe Luwawu, SG",BKN @ ORL,"$3,600",4,"$3,600",4.2,$10,1.4,17.7,22,,-6,206,Upgrade
"Jamal Crawford, SG",BKN @ ORL,"$3,600",0,"$4,300",0,$10,0,5.97,22,,-6,206,Upgrade
"Admiral Schofield, PG",WAS v. MIL,"$3,500",1,"$3,000",1.2,$10,0.4,11.07,11,229.5,8,283,Upgrade
"Johnathan Williams, PF",WAS v. MIL,"$3,500",1.8,"$3,000",2,$10,0.6,11.64,15,229.5,8,283,Upgrade
"Moritz Wagner, PF",WAS v. MIL,"$3,500",5.2,"$3,200",5.7,$10,1.8,18.51,15,229.5,8,283,Upgrade
"Anzejs Pasecniks, C",WAS v. MIL,"$3,500",2.6,"$3,000",3,$10,0.9,16.64,8,229.5,8,283,Upgrade
"Jarrod Uthoff, SF",WAS v. MIL,"$3,500",1.1,"$3,000",1.3,$10,0.4,5.15,10,229.5,8,283,Upgrade
"Gary Payton, PG",WAS v. MIL,"$3,500",0,"$3,000",0,$10,0,14.89,11,229.5,8,283,Upgrade
"Jerian Grant, PG",WAS v. MIL,"$3,500",1.3,"$3,000",1.6,$10,0.5,14.71,11,229.5,8,283,Upgrade
"Frank Mason III, PG",MIL @ WAS,"$3,500",0,"$3,000",0,$10,0,10.07,26,229.5,8,-359,Upgrade
"D.J. Wilson, PF",MIL @ WAS,"$3,500",0.1,"$3,000",0.2,$10,0.1,8.83,16,229.5,8,-359,Upgrade
"Wesley Matthews, SG",MIL @ WAS,"$3,500",4,"$3,400",4.3,$10,1.4,24.4,23,229.5,8,-359,Upgrade
"Kyle Korver, SG",MIL @ WAS,"$3,500",2.5,"$3,200",2.9,$10,0.9,16.33,23,229.5,8,-359,Upgrade
"Ersan Ilyasova, PF",MIL @ WAS,"$3,500",2.6,"$3,500",2.7,$10,0.9,15.56,16,229.5,8,-359,Upgrade
"Kyle Guy, PG",SAC v. NO,"$3,500",0,"$3,000",0,$10,0,1.98,27,,1,-105,Upgrade
"Justin James, PG",SAC v. NO,"$3,500",0,"$3,000",0,$10,0,6.55,27,,1,-105,Upgrade
"Marvin Bagley, PF",SAC v. NO,"$3,500",0,"$3,000",0,$10,0,25.69,23,,1,-105,Upgrade
"Yogi Ferrell, PG",SAC v. NO,"$3,500",0,"$3,000",0,$10,0,10.4,27,,1,-105,Upgrade
"Corey Brewer, SF",SAC v. NO,"$3,500",1.4,"$3,000",1.6,$10,0.5,7.77,27,,1,-105,Upgrade
"Zylan Cheatham, PF",NO @ SAC,"$3,500",0,"$3,000",0,$10,0,10.22,1,,1,-115,Upgrade
"Nickeil Alexander-Walker, PG",NO @ SAC,"$3,500",0.3,"$3,200",0.3,$10,0.1,11.78,19,,1,-115,Upgrade
"Jaxson Hayes, PF",NO @ SAC,"$3,500",2.2,"$3,400",2.2,$10,0.8,16.56,1,,1,-115,Upgrade
"Kenrich Williams, PF",NO @ SAC,"$3,500",2.7,"$3,100",3,$10,1,21.48,1,,1,-115,Upgrade
"Frank Jackson, PG",NO @ SAC,"$3,500",0.8,"$3,100",0.9,$10,0.3,12.91,19,,1,-115,Upgrade
"Jahlil Okafor, C",NO @ SAC,"$3,500",0,"$3,000",0,$10,0,15.15,9,,1,-115,Upgrade
"E'Twaun Moore, SG",NO @ SAC,"$3,500",1.9,"$3,300",2,$10,0.7,18.1,25,,1,-115,Upgrade
"Marko Guduric, PG",MEM v. BOS,"$3,500",0.8,"$3,000",1,$10,0.3,11.19,2,225,4,139,Upgrade
"John Konchar, PG",MEM v. BOS,"$3,500",1,"$3,000",1.1,$10,0.3,10.43,2,225,4,139,Upgrade
"Yuta Watanabe, PG",MEM v. BOS,"$3,500",0.4,"$3,000",0.4,$10,0.1,6.01,2,225,4,139,Upgrade
"Jaren Jackson Jr., PF",MEM v. BOS,"$3,500",0,"$6,300",0,$10,0,28.46,14,225,4,139,Upgrade
"Josh Jackson, SF",MEM v. BOS,"$3,500",2.6,"$3,300",2.7,$10,0.9,18.04,3,225,4,139,Upgrade
"Tyus Jones, PG",MEM v. BOS,"$3,500",0,"$3,800",0,$10,0,18.95,2,225,4,139,Upgrade
"Justise Winslow, SF",MEM v. BOS,"$3,500",0,"$3,000",0,$10,0,32.02,3,225,4,139,Upgrade
"Anthony Tolliver, PF",MEM v. BOS,"$3,500",2.1,"$3,500",2.1,$10,0.7,15.83,14,225,4,139,Upgrade
"Gorgui Dieng, C",MEM v. BOS,"$3,500",6.2,"$3,400",6.3,$10,2.2,17.35,5,225,4,139,Upgrade
"Vincent Poirier, C",BOS @ MEM,"$3,500",0,"$3,000",0,$10,0,5.68,12,225,4,-168,Upgrade
"Tacko Fall, C",BOS @ MEM,"$3,500",0,"$3,000",0,$10,0,4.02,12,225,4,-168,Upgrade
"Tremont Waters, PG",BOS @ MEM,"$3,500",0,"$3,000",0,$10,0,8.9,23,225,4,-168,Upgrade
"Carsen Edwards, PG",BOS @ MEM,"$3,500",0,"$3,000",0,$10,0,9.08,23,225,4,-168,Upgrade
"Grant Williams, PF",BOS @ MEM,"$3,500",2,"$3,000",2.3,$10,0.7,14.91,26,225,4,-168,Upgrade
"Romeo Langford, PG",BOS @ MEM,"$3,500",0.4,"$3,000",0.5,$10,0.1,11.24,23,225,4,-168,Upgrade
"Semi Ojeleye, PF",BOS @ MEM,"$3,500",1.4,"$3,000",1.7,$10,0.5,14.58,26,225,4,-168,Upgrade
"Josh Reaves, PG",DAL v. POR,"$3,500",0,"$3,000",0,$10,0,5.04,18,,2,112,Upgrade
"Jalen Brunson, PG",DAL v. POR,"$3,500",0,"$3,000",0,$10,0,17.93,18,,2,112,Upgrade
"Antonius Cleveland, SG",DAL v. POR,"$3,500",0.2,"$3,000",0.2,$10,0.1,3.25,28,,2,112,Upgrade
"Justin Jackson, SF",DAL v. POR,"$3,500",3.7,"$3,200",4.1,$10,1.3,16,13,,2,112,Upgrade
