,Player,FP,Cost,Value,Min,Pts,Reb,Ast,Stl,Blk,TO
,Unnamed: 0_level_0,Fantasy,Fantasy,Fantasy,Stats,Stats,Stats,Stats,Stats,Stats,Stats
1,Raul Neto PGTOR  @  PHIWed 6:30pm,15.6,"$3,000",5.18,19.84,7.4,2.2,2.6,0.6,0.3,1.6
1,Andre Iguodala SG/SFMIA  @  OKCWed 8:00pm,15.5,"$4,000",3.88,19.42,4.7,3.9,2,0.6,1,1.2
1,Derrick Jones Jr. SF/PFMIA  @  OKCWed 8:00pm,14.9,"$3,500",4.26,18.27,6.5,3.4,0.9,0.8,0.6,0.5
1,Hamidou Diallo SG/SFMIA  @  OKCWed 8:00pm,14.1,"$3,600",3.92,19.15,6.1,3.7,0.9,0.9,0.3,1
1,Patrick Patterson PFLAC  @  DENWed 9:00pm,13.9,"$3,100",4.48,20.21,6.6,3.8,0.9,0.3,0,0.6
1,Terence Davis II PG/SGTOR  @  PHIWed 6:30pm,13.5,"$3,400",3.98,14.92,6.7,2.7,1.4,0.5,0.1,0.9
1,Luguentz Dort SG/SFMIA  @  OKCWed 8:00pm,13,"$4,100",3.16,23.26,6.8,2.2,0.9,0.8,0.2,0.7
1,Edmond Sumner SG/SFIND  @  HOUWed 4:00pm,12.3,"$3,000",4.09,15.5,5.8,1.7,1.6,0.7,0.4,0.9
1,Chris Boucher PF/CTOR  @  PHIWed 6:30pm,12.1,"$4,600",2.62,10.16,4.8,3.4,0.4,0.4,0.8,0.4
1,Glenn Robinson III SF/PFTOR  @  PHI OUTWed 6:30pm,11.5,"$4,000",2.88,16.31,5.6,2.4,0.8,0.6,0.2,0.6
1,Matt Thomas SGTOR  @  PHIWed 6:30pm,11.2,"$3,500",3.21,14.55,6.3,2.1,0.8,0.3,0,0.5
1,JaKarr Sampson PFIND  @  HOUWed 4:00pm,9.2,"$3,000",3.05,12.87,4.1,2.4,0.7,0.3,0.3,0.4
1,P.J. Dozier PGLAC  @  DENWed 9:00pm,9.1,"$3,500",2.59,11.86,4,1.6,1.3,0.4,0.2,0.6
1,Keita Bates-Diop SF/PFLAC  @  DENWed 9:00pm,7.8,"$3,000",2.6,10.98,3.6,1.8,0.4,0.2,0.4,0.2
1,Rondae Hollis-Jefferson SF/PFTOR  @  PHIWed 6:30pm,7.6,"$3,400",2.23,8.57,2.9,2.1,0.7,0.4,0.2,0.4
1,Terrance Ferguson SFMIA  @  OKCWed 8:00pm,6,"$3,100",1.94,12.61,2.6,1,0.6,0.4,0.2,0.4
1,DeMarre Carroll PF/CIND  @  HOUWed 4:00pm,5.4,"$3,000",1.79,7.5,2.3,1.5,0.5,0.2,0.1,0.5
1,Abdel Nader PFMIA  @  OKCWed 8:00pm,5.2,"$3,200",1.63,7.83,2.8,0.9,0.3,0.2,0.2,0.3
1,Terance Mann PGLAC  @  DEN GTDWed 9:00pm,4.6,"$3,000",1.52,5.13,1.8,1,0.8,0.2,0,0.2
1,Mike Scott PFTOR  @  PHI OUTWed 6:30pm,4.6,"$3,700",1.23,5.96,1.9,1.2,0.3,0.2,0.1,0.2
1,Goga Bitadze CIND  @  HOU OUTWed 4:00pm,4,"$3,000",1.33,4.17,1.6,1.1,0.2,0.1,0.3,0.3
1,Rodney McGruder SG/SFLAC  @  DENWed 9:00pm,3.5,"$3,000",1.16,7.85,1.3,1.1,0.4,0.1,0,0.1
1,Bruno Caboclo PF/CIND  @  HOU OUTWed 4:00pm,3.5,"$3,000",1.15,3.68,1.2,0.8,0.2,0.2,0.3,0.2
1,Meyers Leonard PF/CMIA  @  OKCWed 8:00pm,3,"$3,000",0.98,3.13,1.2,0.8,0.2,0.1,0.1,0.1
1,Solomon Hill SF/PFMIA  @  OKCWed 8:00pm,1.9,"$3,000",0.63,2.69,0.9,0.4,0.2,0.1,0,0.2
1,Bol Bol PF/CLAC  @  DENWed 9:00pm,1.8,"$3,400",0.52,1.87,1.1,0.5,0.1,0,0,0.3
1,Kyle O'Quinn CTOR  @  PHIWed 6:30pm,1.7,"$3,000",0.57,1.46,0.5,0.6,0.2,0,0.1,0.1
1,Mike Muscala CMIA  @  OKCWed 8:00pm,1.7,"$4,000",0.43,2.11,0.8,0.4,0.1,0,0.1,0.1
1,Noah Vonleh PF/CLAC  @  DENWed 9:00pm,1.6,"$3,000",0.52,1.79,0.5,0.6,0.1,0.1,0,0.1
1,Chris Clemons PGIND  @  HOUWed 4:00pm,0.9,"$3,000",0.29,1.07,0.6,0.1,0.1,0,0,0.1
1,Luc Mbah a Moute PF/CIND  @  HOUWed 4:00pm,0.6,"$3,000",0.21,1.24,0.4,0.1,0.1,0,0,0.1
1,Tyson Chandler CIND  @  HOUWed 4:00pm,0.6,"$3,000",0.19,1,0.2,0.3,0,0,0,0
1,Troy Daniels SGLAC  @  DEN OUTWed 9:00pm,0.5,"$3,000",0.16,0.74,0.3,0.1,0,0,0,0
1,Joakim Noah CLAC  @  DENWed 9:00pm,0.4,"$3,000",0.12,0.42,0.1,0.2,0,0,0,0
1,Amir Coffey SFLAC  @  DENWed 9:00pm,0.3,"$3,000",0.11,0.56,0.2,0.1,0,0,0,0
1,Chris Silva CMIA  @  OKCWed 8:00pm,0.3,"$3,000",0.1,0.39,0.1,0.2,0,0,0,0.1
1,Alize Johnson PFIND  @  HOUWed 4:00pm,0.2,"$3,000",0.08,0.23,0.1,0.1,0,0,0,0
1,T.J. Leaf PF/CIND  @  HOUWed 4:00pm,0.2,"$3,000",0.08,0.34,0.1,0.1,0,0,0,0
1,Deonte Burton SGMIA  @  OKCWed 8:00pm,0.2,"$3,000",0.06,0.48,0.1,0.1,0,0,0,0.1
1,Malcolm Miller SG/SFTOR  @  PHIWed 6:30pm,0.1,"$3,000",0.03,0.31,0.1,0,0,0,0,0
1,Stanley Johnson SF/PFTOR  @  PHIWed 6:30pm,0,"$3,000",0,0.06,0,0,0,0,0,0
1,Patrick McCaw SG/SFTOR  @  PHI OUTWed 6:30pm,0,"$3,000",0,0,0,0,0,0,0,0
1,Marial Shayok SFTOR  @  PHIWed 6:30pm,0,"$3,000",0,0.05,0,0,0,0,0,0
1,Dewan Hernandez CTOR  @  PHI OUTWed 6:30pm,0,"$3,000",0,0.03,0,0,0,0,0,0
1,Oshae Brissett SFTOR  @  PHI OUTWed 6:30pm,0,"$3,000",0,0,0,0,0,0,0,0
1,T.J. Warren SF/PFIND  @  HOU GTDWed 4:00pm,0,"$8,300",0,0,0,0,0,0,0,0
1,Paul Watson SGTOR  @  PHIWed 6:30pm,0,"$3,000",0,0.05,0,0,0,0,0,0
1,Russell Westbrook PGIND  @  HOU OUTWed 4:00pm,0,"$10,400",0,0,0,0,0,0,0,0
1,Naz Mitrou-Long PG/SGIND  @  HOUWed 4:00pm,0,"$3,000",0,0.14,0,0,0,0,0,0
1,Brian Bowen II SGIND  @  HOUWed 4:00pm,0,"$3,000",0,0.06,0,0,0,0,0,0
1,William Howard SFIND  @  HOUWed 4:00pm,0,"$3,000",0,0.07,0,0,0,0,0,0
1,Alec Burks PG/SGTOR  @  PHIWed 6:30pm,0,"$4,900",0,0,0,0,0,0,0,0
1,Gabe Vincent PGMIA  @  OKCWed 8:00pm,0,"$3,000",0,0.07,0,0,0,0,0,0
1,Montrezl Harrell CLAC  @  DEN OUTWed 9:00pm,0,"$5,700",0,0,0,0,0,0,0,0
1,Johnathan Motley CLAC  @  DENWed 9:00pm,0,"$3,000",0,0.03,0,0,0,0,0,0
1,Landry Shamet SG/SFLAC  @  DENWed 9:00pm,0,"$3,700",0,0,0,0,0,0,0,0
1,Tyler Cook CLAC  @  DENWed 9:00pm,0,"$3,000",0,0.04,0,0,0,0,0,0
1,Gary Harris SGLAC  @  DEN OUTWed 9:00pm,0,"$4,100",0,0,0,0,0,0,0,0
1,Patrick Beverley PGLAC  @  DEN OUTWed 9:00pm,0,"$3,300",0,0,0,0,0,0,0,0
1,Devon Hall SGMIA  @  OKCWed 8:00pm,0,"$3,000",0,0.05,0,0,0,0,0,0
1,Kevin Hervey PFMIA  @  OKCWed 8:00pm,0,"$3,000",0,0.03,0,0,0,0,0,0
1,KZ Okpala SFMIA  @  OKC GTDWed 8:00pm,0,"$3,000",0,0,0,0,0,0,0,0
1,Will Barton SG/SFLAC  @  DEN OUTWed 9:00pm,0,"$6,900",0,0,0,0,0,0,0,0
1,Udonis Haslem CMIA  @  OKCWed 8:00pm,0,"$3,000",0,0.07,0,0,0,0,0,0
